iteracion,encrypt_us,decrypt_us,free_heap
1,47,11,334384
2,11,10,334384
3,11,10,334384
4,11,10,334384
5,11,10,334384
6,11,10,334384
7,11,10,334384
8,11,10,334384
9,11,10,334384
10,11,10,334384
11,11,10,334384
12,11,10,334384
13,11,10,334384
14,11,10,334384
15,11,10,334384
16,11,10,334384
17,11,10,334384
18,11,10,334384
19,11,10,334384
20,11,10,334384
21,11,10,334384
22,11,10,334384
23,11,10,334384
24,11,10,334384
25,11,10,334384
26,11,10,334384
27,11,10,334384
28,11,10,334384
29,11,10,334384
30,11,10,334384
31,11,10,334384
32,11,10,334384
33,11,10,334384
34,11,10,334384
35,11,10,334384
36,11,10,334384
37,11,10,334384
38,11,10,334384
39,11,10,334384
40,11,10,334384
41,11,10,334384
42,11,10,334384
43,11,10,334384
44,11,10,334384
45,11,10,334384
46,11,10,334384
47,11,10,334384
48,11,10,334384
49,11,10,334384
50,11,10,334384
